SubjectNumber	Condition	NumberStickers	NumberEnvelopes	Gender	Agemonths	Ageyears	Agegroups	Subject'sEnvelope	LeftEnvelope	RightEnvelope	absolutenumberofstickersgiven(Conditions1or3:Outof12;Conditions2or4:Outof30)	PercentGiven(Outof100percent)	Giveornot	LargerEnvelopeabs	LargeEnvelopepercent	SmallerEnvelopeabs	SmallEnvelopepercent
"268"	"2"	"1"	"2"	"2"	92.0	7.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"6"	"0.5"	"6"	"0.5"
"269"	"3"	"2"	"1"	"1"	92.0	7.0	"3"	"25"	"5"	""	"5"	"0.16666666666666666"	"1"	""	""	""	""
"270"	"3"	"2"	"1"	"1"	92.0	7.0	"3"	"11"	"19"	""	"19"	"0.6333333333333333"	"1"	""	""	""	""
"271"	"2"	"1"	"2"	"2"	92.0	7.0	"3"	"4"	"8"	"0"	"8"	"0.66666666666666663"	"1"	"8"	"1"	"0"	"0"
"272"	"2"	"1"	"2"	"2"	93.0	7.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"273"	"4"	"2"	"2"	"1"	93.0	7.0	"3"	"0"	"15"	"15"	"30"	"1"	"1"	"15"	"0.5"	"15"	"0.5"
"274"	"4"	"2"	"2"	"1"	93.0	7.0	"3"	"11"	"12"	"7"	"19"	"0.63"	"1"	"12"	"0.63157894736842102"	"7"	"0.36842105263157893"
"275"	"3"	"2"	"1"	"2"	93.0	7.0	"3"	"13"	"17"	""	"17"	"0.56666666666666665"	"1"	""	""	""	""
"276"	"2"	"1"	"2"	"2"	93.0	7.0	"3"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"277"	"4"	"2"	"2"	"1"	94.0	7.0	"3"	"20"	"5"	"5"	"10"	"0.33"	"1"	"5"	"0.5"	"5"	"0.5"
"278"	"2"	"1"	"2"	"2"	94.0	7.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"279"	"3"	"2"	"1"	"2"	94.0	7.0	"3"	"26"	"4"	""	"4"	"0.13333333333333333"	"1"	""	""	""	""
"280"	"3"	"2"	"1"	"2"	94.0	7.0	"3"	"7"	"10"	"13"	"23"	"0.76666666666666672"	"1"	"13"	"0.56521739130434778"	"10"	"0.43478260869565216"
"281"	"3"	"2"	"1"	"2"	95.0	7.0	"3"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"282"	"1"	"1"	"1"	"2"	95.0	7.0	"3"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"283"	"2"	"1"	"2"	"1"	95.0	7.0	"3"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"284"	"2"	"1"	"2"	"1"	95.0	7.0	"3"	"4"	"4"	"4"	"8"	"0.66666666666666663"	"1"	"4"	"0.5"	"4"	"0.5"
"285"	"1"	"1"	"1"	"2"	96.0	8.0	"3"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"286"	"1"	"1"	"1"	"1"	96.0	8.0	"3"	"8"	"4"	""	"4"	"0.33"	"1"	""	""	""	""
"287"	"2"	"1"	"2"	"1"	96.0	8.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"288"	"3"	"2"	"1"	"1"	96.0	8.0	"3"	"17"	"13"	""	"13"	"0.43"	"1"	""	""	""	""
"289"	"3"	"2"	"1"	"2"	96.0	8.0	"3"	"5"	"25"	""	"25"	"0.83333333333333337"	"1"	""	""	""	""
"290"	"4"	"2"	"2"	"2"	96.0	8.0	"3"	"11"	"7"	"12"	"19"	"0.6333333333333333"	"1"	"12"	"0.63157894736842102"	"7"	"0.36842105263157893"
"291"	"2"	"1"	"2"	"1"	97.0	8.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"292"	"2"	"1"	"2"	"1"	97.0	8.0	"3"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"293"	"2"	"1"	"2"	"1"	97.0	8.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"294"	"2"	"1"	"2"	"2"	97.0	8.0	"3"	"1"	"5"	"6"	"11"	"0.91666666666666663"	"1"	"6"	"0.54545454545454541"	"5"	"0.45454545454545453"
"295"	"1"	"1"	"1"	"1"	98.0	8.0	"3"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"296"	"4"	"2"	"2"	"1"	98.0	8.0	"3"	"16"	"7"	"7"	"14"	"0.47"	"1"	"7"	"0.5"	"7"	"0.5"
"297"	"4"	"2"	"2"	"1"	98.0	8.0	"3"	"8"	"22"	"0"	"22"	"0.73"	"1"	"22"	"1"	"0"	"0"
"298"	"1"	"1"	"1"	"2"	98.0	8.0	"3"	"5"	"7"	""	"7"	"0.58333333333333337"	"1"	""	""	""	""
"299"	"3"	"2"	"1"	"2"	98.0	8.0	"3"	"17"	"13"	""	"13"	"0.43333333333333335"	"1"	""	""	""	""
"300"	"4"	"2"	"2"	"1"	98.0	8.0	"3"	"12"	"9"	"9"	"18"	"0.6"	"1"	"9"	"0.5"	"9"	"0.5"
"301"	"1"	"1"	"1"	"2"	98.0	8.0	"3"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"302"	"4"	"2"	"2"	"1"	98.0	8.0	"3"	"11"	"6"	"13"	"19"	"0.6333333333333333"	"1"	"13"	"0.68421052631578949"	"6"	"0.31578947368421051"
"303"	"2"	"1"	"2"	"1"	99.0	8.0	"3"	"9"	"3"	"0"	"3"	"0.25"	"1"	"3"	"1"	"0"	"0"
"304"	"4"	"2"	"2"	"2"	99.0	8.0	"3"	"14"	"13"	"3"	"16"	"0.53333333333333333"	"1"	"13"	"0.8125"	"3"	"0.1875"
"305"	"3"	"2"	"1"	"1"	100.0	8.0	"3"	"27"	"3"	""	"3"	"0.1"	"1"	""	""	""	""
"306"	"1"	"1"	"1"	"1"	100.0	8.0	"3"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"307"	"2"	"1"	"2"	"2"	100.0	8.0	"3"	"10"	"1"	"1"	"2"	"0.16666666666666666"	"1"	"1"	"0.5"	"1"	"0.5"
"308"	"3"	"2"	"1"	"1"	100.0	8.0	"3"	"11"	"19"	""	"19"	"0.6333333333333333"	"1"	""	""	""	""
"309"	"1"	"1"	"1"	"1"	100.0	8.0	"3"	"5"	"7"	""	"7"	"0.58333333333333337"	"1"	""	""	""	""
"310"	"1"	"1"	"1"	"1"	100.0	8.0	"3"	"7"	"5"	""	"5"	"0.41666666666666669"	"1"	""	""	""	""
"311"	"1"	"1"	"1"	"1"	101.0	8.0	"3"	"2"	"10"	""	"10"	"0.83"	"1"	""	""	""	""
"312"	"2"	"1"	"2"	"2"	101.0	8.0	"3"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"313"	"4"	"2"	"2"	"2"	101.0	8.0	"3"	"6"	"12"	"12"	"24"	"0.8"	"1"	"12"	"0.5"	"12"	"0.5"
"314"	"4"	"2"	"2"	"1"	101.0	8.0	"3"	"10"	"10"	"10"	"20"	"0.67"	"1"	"10"	"0.5"	"10"	"0.5"
"315"	"4"	"2"	"2"	"1"	101.0	8.0	"3"	"8"	"9"	"13"	"22"	"0.73333333333333328"	"1"	"13"	"0.59090909090909094"	"9"	"0.40909090909090912"
"316"	"2"	"1"	"2"	"1"	101.0	8.0	"3"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"317"	"4"	"2"	"2"	"1"	103.0	8.0	"3"	"10"	"10"	"10"	"20"	"0.66666666666666663"	"1"	"10"	"0.5"	"10"	"0.5"
"318"	"4"	"2"	"2"	"2"	104.0	8.0	"3"	"3"	"13"	"14"	"27"	"0.9"	"1"	"14"	"0.51851851851851849"	"13"	"0.48148148148148145"
"319"	"1"	"1"	"1"	"1"	104.0	8.0	"3"	"8"	"4"	""	"4"	"0.33333333333333331"	"1"	""	""	""	""
"320"	"2"	"1"	"2"	"2"	104.0	8.0	"3"	"4"	"3"	"5"	"8"	"0.66666666666666663"	"1"	"5"	"0.625"	"3"	"0.375"
"321"	"3"	"2"	"1"	"1"	105.0	8.0	"3"	"14"	"16"	""	"16"	"0.53"	"1"	""	""	""	""
"322"	"3"	"2"	"1"	"2"	105.0	8.0	"3"	"23"	"7"	""	"7"	"0.23"	"1"	""	""	""	""
"323"	"3"	"2"	"1"	"1"	105.0	8.0	"3"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"324"	"1"	"1"	"1"	"1"	106.0	8.0	"3"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"325"	"2"	"1"	"2"	"1"	106.0	8.0	"3"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"326"	"3"	"2"	"1"	"2"	106.0	8.0	"3"	"14"	"16"	""	"16"	"0.53333333333333333"	"1"	""	""	""	""
"327"	"4"	"2"	"2"	"1"	106.0	8.0	"3"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"328"	"4"	"2"	"2"	"2"	106.0	8.0	"3"	"0"	"20"	"10"	"30"	"1"	"1"	"20"	"0.66666666666666663"	"10"	"0.33333333333333331"
"329"	"1"	"1"	"1"	"2"	107.0	8.0	"3"	"8"	"4"	""	"4"	"0.33"	"1"	""	""	""	""
"330"	"3"	"2"	"1"	"1"	107.0	8.0	"3"	"14"	"16"	""	"16"	"0.53"	"1"	""	""	""	""
"331"	"4"	"2"	"2"	"1"	107.0	8.0	"3"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"332"	"2"	"1"	"2"	"2"	107.0	8.0	"3"	"2"	"5"	"5"	"10"	"0.83333333333333337"	"1"	"5"	"0.5"	"5"	"0.5"
"333"	"1"	"1"	"1"	"2"	108.0	9.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"334"	"1"	"1"	"1"	"1"	108.0	9.0	"4"	"4"	"8"	""	"8"	"0.67"	"1"	""	""	""	""
"335"	"2"	"1"	"2"	"1"	108.0	9.0	"4"	"10"	"1"	"1"	"2"	"0.17"	"1"	"1"	"0.5"	"1"	"0.5"
"336"	"4"	"2"	"2"	"2"	108.0	9.0	"4"	"14"	"9"	"7"	"16"	"0.53"	"1"	"9"	"0.5625"	"7"	"0.4375"
"337"	"2"	"1"	"2"	"1"	108.0	9.0	"4"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"338"	"1"	"1"	"1"	"2"	108.0	9.0	"4"	"3"	"9"	""	"9"	"0.75"	"1"	""	""	""	""
"339"	"4"	"2"	"2"	"2"	108.0	9.0	"4"	"12"	"6"	"12"	"18"	"0.6"	"1"	"12"	"0.66666666666666663"	"6"	"0.33333333333333331"
"340"	"1"	"1"	"1"	"1"	109.0	9.0	"4"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"341"	"3"	"2"	"1"	"1"	109.0	9.0	"4"	"16"	"14"	""	"14"	"0.47"	"1"	""	""	""	""
"342"	"3"	"2"	"1"	"1"	109.0	9.0	"4"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"343"	"3"	"2"	"1"	"2"	110.0	9.0	"4"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"344"	"4"	"2"	"2"	"2"	110.0	9.0	"4"	"11"	"12"	"7"	"19"	"0.63"	"1"	"12"	"0.63157894736842102"	"7"	"0.36842105263157893"
"345"	"1"	"1"	"1"	"1"	110.0	9.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"346"	"2"	"1"	"2"	"2"	111.0	9.0	"4"	"8"	"2"	"2"	"4"	"0.33"	"1"	"2"	"0.5"	"2"	"0.5"
"347"	"1"	"1"	"1"	"2"	111.0	9.0	"4"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"348"	"3"	"2"	"1"	"1"	112.0	9.0	"4"	"19"	"11"	""	"11"	"0.37"	"1"	""	""	""	""
"349"	"4"	"2"	"2"	"2"	112.0	9.0	"4"	"13"	"9"	"8"	"17"	"0.56999999999999995"	"1"	"9"	"0.52941176470588236"	"8"	"0.47058823529411764"
"350"	"3"	"2"	"1"	"1"	112.0	9.0	"4"	"24"	"6"	""	"6"	"0.2"	"1"	""	""	""	""
"351"	"2"	"1"	"2"	"1"	112.0	9.0	"4"	"5"	"3"	"4"	"7"	"0.58333333333333337"	"1"	"4"	"0.5714285714285714"	"3"	"0.42857142857142855"
"352"	"1"	"1"	"1"	"2"	113.0	9.0	"4"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"353"	"4"	"2"	"2"	"2"	113.0	9.0	"4"	"3"	"13"	"14"	"27"	"0.9"	"1"	"14"	"0.51851851851851849"	"13"	"0.48148148148148145"
"354"	"2"	"1"	"2"	"1"	113.0	9.0	"4"	"4"	"4"	"4"	"8"	"0.66666666666666663"	"1"	"4"	"0.5"	"4"	"0.5"
"355"	"3"	"2"	"1"	"0"	113.0	9.0	"4"	"20"	"10"	""	"10"	"0.33333333333333331"	"1"	""	""	""	""
"356"	"1"	"1"	"1"	"1"	113.0	9.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"357"	"2"	"1"	"2"	"2"	113.0	9.0	"4"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"358"	"1"	"1"	"1"	"2"	114.0	9.0	"4"	"1"	"11"	""	"11"	"0.91666666666666663"	"1"	""	""	""	""
"359"	"2"	"1"	"2"	"1"	115.0	9.0	"4"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"360"	"2"	"1"	"2"	"1"	115.0	9.0	"4"	"8"	"2"	"2"	"4"	"0.33333333333333331"	"1"	"2"	"0.5"	"2"	"0.5"
"361"	"3"	"2"	"1"	"2"	116.0	9.0	"4"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"362"	"1"	"1"	"1"	"1"	117.0	9.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"363"	"2"	"1"	"2"	"1"	117.0	9.0	"4"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"364"	"4"	"2"	"2"	"1"	117.0	9.0	"4"	"11"	"10"	"9"	"19"	"0.63"	"1"	"10"	"0.52631578947368418"	"9"	"0.47368421052631576"
"365"	"3"	"2"	"1"	"2"	117.0	9.0	"4"	"14"	"16"	""	"16"	"0.53"	"1"	""	""	""	""
"366"	"3"	"2"	"1"	"1"	117.0	9.0	"4"	"9"	"21"	""	"21"	"0.7"	"1"	""	""	""	""
"367"	"2"	"1"	"2"	"1"	119.0	9.0	"4"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"368"	"3"	"2"	"1"	"2"	120.0	10.0	"4"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"369"	"3"	"2"	"1"	"1"	120.0	10.0	"4"	"16"	"14"	""	"14"	"0.46666666666666667"	"1"	""	""	""	""
"370"	"4"	"2"	"1"	"2"	121.0	10.0	"4"	"3"	"5"	"4"	"9"	"0.75"	"1"	"5"	"0.55555555555555558"	"4"	"0.44444444444444442"
"371"	"1"	"1"	"1"	"1"	122.0	10.0	"4"	"11"	"1"	""	"1"	"8.3333333333333329E-2"	"1"	""	""	""	""
"372"	"2"	"1"	"2"	"1"	123.0	10.0	"4"	"5"	"7"	""	"7"	"0.58333333333333337"	"1"	""	""	""	""
"373"	"4"	"2"	"2"	"2"	123.0	10.0	"4"	"11"	"10"	"9"	"19"	"0.6333333333333333"	"1"	"10"	"0.52631578947368418"	"9"	"0.47368421052631576"
"374"	"3"	"2"	"1"	"1"	124.0	10.0	"4"	"7"	"23"	""	"23"	"0.76666666666666672"	"1"	""	""	""	""
"375"	"4"	"2"	"2"	"1"	124.0	10.0	"4"	"10"	"10"	"10"	"20"	"0.66666666666666663"	"1"	"10"	"0.5"	"10"	"0.5"
"376"	"4"	"2"	"2"	"2"	124.0	10.0	"4"	"10"	"10"	"10"	"20"	"0.66666666666666663"	"1"	"10"	"0.5"	"10"	"0.5"
"377"	"2"	"1"	"2"	"1"	125.0	10.0	"4"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"378"	"4"	"2"	"2"	"1"	125.0	10.0	"4"	"12"	"9"	"9"	"18"	"0.6"	"1"	"9"	"0.5"	"9"	"0.5"
"379"	"4"	"2"	"2"	"2"	125.0	10.0	"4"	"0"	"15"	"15"	"30"	"1"	"1"	"15"	"0.5"	"15"	"0.5"
"380"	"4"	"2"	"2"	"2"	125.0	10.0	"4"	"2"	"14"	"14"	"28"	"0.93333333333333335"	"1"	"14"	"0.5"	"14"	"0.5"
"381"	"2"	"1"	"2"	"2"	126.0	10.0	"4"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"382"	"1"	"1"	"1"	"1"	127.0	10.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"383"	"3"	"2"	"1"	"2"	128.0	10.0	"4"	"0"	"30"	""	"30"	"1"	"1"	""	""	""	""
"384"	"3"	"2"	"1"	"2"	129.0	10.0	"4"	"0"	"30"	""	"30"	"1"	"1"	""	""	""	""
"385"	"2"	"1"	"2"	"1"	129.0	10.0	"4"	"4"	"4"	"4"	"8"	"0.66666666666666663"	"1"	"4"	"0.5"	"4"	"0.5"
"386"	"1"	"1"	"1"	"1"	129.0	10.0	"4"	"8"	"4"	""	"4"	"0.33333333333333331"	"1"	""	""	""	""
"387"	"3"	"2"	"1"	"2"	129.0	10.0	"4"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"388"	"3"	"2"	"1"	"1"	131.0	10.0	"4"	"18"	"12"	""	"12"	"0.4"	"1"	""	""	""	""
"389"	"2"	"1"	"2"	"1"	131.0	10.0	"4"	"4"	"4"	"4"	"8"	"0.66666666666666663"	"1"	"4"	"0.5"	"4"	"0.5"
"390"	"1"	"1"	"1"	"2"	132.0	11.0	"4"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"391"	"4"	"2"	"2"	"2"	133.0	11.0	"4"	"0"	"15"	"15"	"30"	"1"	"1"	"15"	"0.5"	"15"	"0.5"
"392"	"4"	"2"	"2"	"2"	134.0	11.0	"4"	"2"	"17"	"11"	"28"	"0.93"	"1"	"17"	"0.6071428571428571"	"11"	"0.39285714285714285"
"393"	"2"	"1"	"2"	"2"	134.0	11.0	"4"	"3"	"4"	"5"	"9"	"0.75"	"1"	"5"	"0.55555555555555558"	"4"	"0.44444444444444442"
"394"	"4"	"2"	"2"	"2"	135.0	11.0	"4"	"10"	"10"	"10"	"20"	"0.67"	"1"	"10"	"0.5"	"10"	"0.5"
"395"	"4"	"2"	"2"	"1"	135.0	11.0	"4"	"19"	"7"	"4"	"11"	"0.37"	"1"	"7"	"0.63636363636363635"	"4"	"0.36363636363636365"
"396"	"1"	"1"	"1"	"2"	136.0	11.0	"4"	"2"	"10"	""	"10"	"0.83"	"1"	""	""	""	""
"397"	"4"	"2"	"2"	"1"	136.0	11.0	"4"	"9"	"13"	"8"	"21"	"0.7"	"1"	"13"	"0.61904761904761907"	"8"	"0.38095238095238093"
"398"	"1"	"1"	"1"	"1"	137.0	11.0	"4"	"3"	"9"	""	"9"	"0.75"	"1"	""	""	""	""
"399"	"1"	"1"	"1"	"2"	137.0	11.0	"4"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"400"	"4"	"2"	"2"	"2"	139.0	11.0	"4"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"401"	"3"	"2"	"1"	"1"	143.0	11.0	"4"	"16"	"14"	""	"14"	"0.46666666666666667"	"1"	""	""	""	""
